stop_id,stop_name,stop_lat,stop_lon
7469859,Åkerivägen,59.20454919200763,17.65675516548301
7469856,Morabergsvägen,59.206011615425226,17.646714872147797
7469863,Tegelängsvägen,59.197197271778236,17.64904112443685
7469862,Bellmansvägen,59.19831888106293,17.644655606633844
7469861,Kyrkogårdsvägen,59.19956258417943,17.641151569088453
7469860,Rektorsvägen,59.199745302831126,17.63647019243077
7469867,Gökvägen,59.187795508566346,17.652261963370865
7469866,Hagabergs folkhögskola,59.190649409225706,17.646028505055668
7469865,Högåsavägen,59.19341791305575,17.642642135852693
7469864,Folkparksvägen,59.19498701213368,17.647241874741376
7469871,Fornhöjdens centrum,59.19015347261728,17.663851395904196
7469869,Vretensvägen,59.18603566034636,17.666742436644448
7469868,Centralvägen,59.18596411839464,17.65728992167321
7469874,Gillestigen,59.1996652413685,17.582692938980724
7469872,Klockarvägen,59.19613595084503,17.578134100251244
7469873,Geneta centrum,59.19632357258559,17.58477722133743
7469878,Ronna skola,59.2056468260133,17.598269927473925
7469879,Törnrosavägen,59.20544544889891,17.606347677086234
7469876,Klövjevägen,59.20265831080277,17.586402042288437
7469877,Ronna centrum,59.20431207637977,17.590864749994214
7469882,Ekbacken,59.24575505039046,17.63760384797973
8600858,Köbenhavns Lufthavn,55.629571743744826,12.648922198604295
7469883,Värdsholmsgatan,59.18740811652705,17.6320132620211
8600857,Tårnby,55.62994722411882,12.602094990965755
8600856,Örestad,55.62841012345541,12.57879089260779
7469886,Södertälje Sjömansplan,59.181584604471105,17.645751205699355
7469887,Anningåkre,57.16279020662327,18.276626839127474
7469884,Gjuteriporten,59.185458789605114,17.636545993393693
7469885,Verkstadsvägen,59.182827014819416,17.64170647101596
7469827,Ansgarsvägen,59.22626499792582,17.6354730145726
7469829,Köpmangatan,59.19707867059971,17.62815361880929
7469828,Norsborg Eriksbergsåsen,59.24313315511148,17.821059340183467
7469830,Polhemsgatan,59.20054508271708,17.631314066986178
7469833,Paradisgränd,59.199573525169626,17.627603836445427
7469832,Vackstanäs,59.141263976621026,17.50096276707039
7469835,Bruksgatan,59.20587995013124,17.63121361402618
7469834,Sveagatan,59.202262673404,17.636237283153257
7469837,Ragnhildsborgsvägen,59.212806787237724,17.629639638786834
7469836,Brunnsängs centrum,59.211083423262636,17.630878500405544
7469838,Brunnsängsvägen,59.21496308978254,17.63210128321292
7469841,Hjälmsättra,59.23366837281128,17.631296275430145
7469842,Viksätersvägen,59.23856299698469,17.627369534971553
7469843,Ladviksvägen,59.245527297106655,17.62439317411869
7469844,Viksberg,59.24844348134304,17.61357515412106
7469845,Eksättravägen,59.246147959143904,17.647300492164522
7469846,Solliden,59.25059796637841,17.657042041024972
7469847,Solvik,59.251467411405734,17.65272396518027
7469848,Svalängen,59.254463326216474,17.640876283919724
7469849,Furulund,59.256428059245124,17.62756881529636
7469850,Högantorp skola,59.25617174484473,17.622137355790713
7469851,Bockholmssättra,59.27320431298037,17.630499517022855
7469852,Annalundsvägen,59.21721773139579,17.637142962416664
7469853,Ekensbergs Ind Omr,59.20488974982038,17.652379310451757
7469854,Ekensbergsgatan,59.20300431442363,17.639042923973914
7469855,Weda,59.204377521201145,17.6448062218298
7469927,Idrottsvägen,59.19699081778245,17.637600538318118
7469926,Fornhöjden norra,59.19600597428471,17.663976651217883
7469925,Mörbyvägen,59.18345108635635,17.456583374129377
7469920,Scaniarinken,59.188995221132316,17.571727329970287
7469935,Slätås,59.20221970050471,17.424877436733947
7469934,Elsaborg,59.19810191361357,17.435394217032236
7469933,Turinge kyrka,59.19659383990215,17.439662874100282
7469932,Vindhammar,59.19552642947403,17.445999915548516
7469931,Klockarvägskrönet,59.19644372413825,17.591731950754202
7469930,Odalvägen,59.20411518845122,17.601253300052097
7469929,Nykvarn Stallbacksvägen,59.1832227601381,17.433391367384438
7469928,Fornbackaskolan,59.19328180325626,17.661081042885975
7469942,Gärtunavägen,59.18133367274875,17.66464987568318
7469943,Gärtuna,59.17783335517004,17.675813034216073
7469940,Sundsvik kvarn,59.230454413223406,17.427230990581805
7469941,Viksängsvägen,59.1876548446527,17.642542846019477
7469938,Vårtala,59.21644664601186,17.421575796099376
7469939,Sundsör,59.22822030165241,17.4263892438542
7469936,Österkumla vägskäl,59.20897847332082,17.41997991607965
7469937,Djurstaberg vägskäl,59.21333970554839,17.42088617809749
7469950,Stora Ryssjön,59.201309683541204,17.332342839512503
7469951,Ryssjöbrinksvägen,59.20278938024632,17.32789266071002
7469948,Källviksvägen,59.18734995286034,17.337564256348482
7469949,Svartbrovägen,59.19590366987903,17.337019518910065
7469946,Karlslund,59.17493699210934,17.38967309584401
7469947,Runnbäcken,59.18100916667934,17.37165553626523
7469944,Nykvarn Bystavägen,59.17246999388648,17.410004149871234
7469945,Jägarskogsvägen,59.17340053334086,17.401512652676946
7469893,Campus Telge,59.18825307470909,17.62490146864232
7469892,Granpark,59.16545692511757,17.64077556513212
7469895,Linnégatan,59.18576713796094,17.61903029449896
7469894,Fribovägen,59.18475737663768,17.621898751175642
7469888,Uthamnsvägen,59.1776374529654,17.64930013684646
7469891,Sydhamnsvägen,59.16556755874892,17.64691940913621
7469901,Abborrstigen,59.14830858430079,17.65901370535627
7469900,Mörtstigen,59.14662804473424,17.661631857303462
7469902,Hovsjöskolan,59.17516237967241,17.60291867177298
7469897,Lundbygatan,59.186512115366725,17.614537896284975
7469896,Erikshällsgatan,59.18703212147808,17.61717254312818
7469899,Torekällberget,59.19171369634777,17.612397763278217
7469898,Fridenslundsvägen,59.18261559056434,17.607403819002656
