name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Torebyvägen, Kungälv;57.822563;11.856735;9021014014424000;7460117;Torebyvägen;57.82256791238;11.856733287088
Övergård, Stenungsund;58.050566;11.856762;9021014015048000;7470265;Övergård;58.050563130006;11.856763140151
Södra Flundregatan, Göteborg;57.648739;11.856987;9021014006637000;7459629;Södra Flundregatan;57.648739274491;11.856986516208
Volvo IT, Göteborg;57.725678;11.857059;9021014007487000;7459690;Volvo IT;57.725679082785;11.857062751491
Skotthed, Stenungsund;57.987992;11.857365;9021014015175000;7400349;Jörlanda;57.987145151584;11.830249036841
Berg västra, Stenungsund;58.109104;11.857464;9021014015150000;7460334;Berg västra;58.109103949743;11.857464500971
Spekeröds festplats, Stenungsund;58.026448;11.857832;9021014015351000;7415776;Spekeröd festplats;58.026446286554;11.857833390567
Gamleberg, Stenungsund;58.125302;11.857976;9021014015115000;7460317;Gamleberg;58.125306759901;11.857979760529
Högstena, Göteborg;57.776044;11.858066;9021014003380000;7459317;Högstena;57.776043110957;11.858069331726
Buderöd, Kungälv;57.928969;11.858237;9021014014255000;7460077;Lunna;57.938385156581;11.863366352298
Osebacken, Uddevalla;58.256230;11.858246;9021014021542000;7441400;Osebacken;58.256228851351;11.858245647011
Sund, Uddevalla;58.318256;11.858362;9021014021640000;7441450;Sund;58.318255595391;11.85836198577
Skårby Mosse norra, Kungälv;57.918631;11.858488;9021014014301000;7460039;Bufferöd;57.909820256573;11.862735123054
Ringstad, Dals-Ed;58.804707;11.858497;9021014044429000;7442395;Ringstad;58.804709331174;11.858499061572
Haga västra, Stenungsund;57.980621;11.859091;9021014015347000;7460384;Håby;57.972284829694;11.836176915807
Bergeröd, Munkedal;58.652978;11.859234;9021014022465000;7441768;Bergeröd;58.652973692326;11.859238423373
Vårlöksvägen, Stenungsund;58.063573;11.859720;9021014015040000;7460286;Vårlöksvägen;58.063570217872;11.859717572292
Åseby, Göteborg;57.779757;11.859819;9021014007646000;7459711;Åseby;57.779755709677;11.859817155597
Vena berg, Kungälv;57.868157;11.860151;9021014014188000;7460230;Kuröd;57.856820851086;11.864240770463
Strandön, Uddevalla;58.253282;11.860484;9021014021541000;7441399;Strandön;58.253278244402;11.860483697419
Volvo Torslanda PV, Göteborg;57.728392;11.860727;9021014007483000;7415602;Torslanda Volvo PV;57.728391133541;11.860731923013
Hinsholmen, Göteborg;57.667796;11.860969;9021014003170000;7425637;Göteborg Hinsholmen;57.667801426498;11.860966714482
Släbo, Kungälv;57.948430;11.861023;9021014014219000;7415739;Kode E6 Kodemotet;57.945185859207;11.856618785079
Fiskebäcks Hamn, Göteborg;57.645728;11.861113;9021014002340000;7459208;Fiskebäcks Hamn;57.645731597221;11.861118844395
Hammar södra, Kungälv;57.820388;11.861149;9021014014421000;7460115;Hammar södra;57.820386655124;11.861149509659
Kornvivelvägen, Stenungsund;58.052750;11.861877;9021014015074000;7460306;Kornvivelvägen;58.052753127169;11.861878472419
Säve Flygplats, Göteborg;57.782184;11.862129;9021014004150000;7459378;Säve flygplats;57.782182521866;11.862126408741
Kännestorp, Stenungsund;58.026744;11.862219;9021014015352000;7460394;Kännestorp;58.026744319246;11.862222167713
Strand södra, Uddevalla;58.249461;11.862713;9021014021540000;7441398;Strand södra;58.249464590912;11.862715039776
Bufferöd, Kungälv;57.909822;11.862731;9021014014060000;7460039;Bufferöd;57.909820256573;11.862735123054
Haga östra, Stenungsund;57.979227;11.862965;9021014015346000;7460384;Håby;57.972284829694;11.836176915807
Sund Övre, Uddevalla;58.318013;11.863235;9021014021644000;7441453;Sund Övre;58.318010797798;11.86324022315
Strandskogen, Uddevalla;58.246522;11.863333;9021014021544000;7441402;Strandskogen;58.246517774307;11.863332453073
Lunna, Kungälv;57.938380;11.863369;9021014014222000;7460077;Lunna;57.938385156581;11.863366352298
Strandskogen södra, Uddevalla;58.244463;11.863675;9021014021545000;7441403;Strandskogen södra;58.244461384409;11.863680344197
Taxån, Dals-Ed;58.994748;11.863711;9021014044709000;7412016;Taxån;58.994747911759;11.863714326668
Göranderud, Dals-Ed;58.878068;11.863909;9021014044717000;7442435;Göranderud;58.878066164999;11.863913704257
Volvo Torslanda RA, Göteborg;57.721660;11.864053;9021014007498000;7415605;Torslanda Volvo RA;57.721663822483;11.864052027728
Kuröd, Kungälv;57.856821;11.864241;9021014014762000;7460230;Kuröd;57.856820851086;11.864240770463
ID-kontrollen, Göteborg;57.698800;11.864511;9021014003520000;7459320;ID-kontrollen;57.698803671077;11.864508160009
Gategård, Stenungsund;58.076590;11.864961;9021014015107000;7470264;Shell Ekbacken;58.068792130063;11.855086860738
Rödsvägen, Stenungsund;58.137159;11.865158;9021014015136000;7460322;Viddesgärde;58.131014406701;11.850754831733
Hagenvägen, Stenungsund;58.013288;11.865194;9021014015169000;7460394;Kännestorp;58.026744319246;11.862222167713
Ekelöv västra, Kungälv;57.892607;11.865293;9021014014020000;7460028;Ekelöv västra;57.892607339054;11.865297889863
Allebyvägen, Göteborg;57.751459;11.865626;9021014004360000;7459395;Allebyvägen;57.751463051622;11.865628917038
Torpsvägen, Stenungsund;58.055159;11.865904;9021014015075000;7460307;Torpsvägen;58.055160746011;11.865902278584
