gtfsid;id
7400149;Nkv
8600858;Dk.cph
7400426;Fgå
7401398;Äsr
7400789;Äs
7400204;Sic
7400099;Vå
7400923;Höy
7602405;No.kat
7400351;Vib
7400159;Vfo
7401583;Nog
7416940;Våk
7400433;Lyv
7400090;Jö
7400709;Jn
7400241;Vg
7400742;Gss
7400764;Spå
7400142;Un
7401546;Stp
8600857;Dk.tåt
7400222;Khn
7400442;Jps
7400108;Sgs
7400482;Ghy
7400280;Kpg
7400623;R
7400098;Lj
7400061;Båsö
7400504;Vät
7400701;Hel
7400202;In
7400962;Bjy
7401387;Vbd
7423824;Tnk
7400150;Bdn
7400677;Ksus
7400036;Fby
7400052;V
7400011;Tp
7400727;Nyh
7400167;Kp
7400126;Jpn
7424005;Sm
7401433;Låk
7400963;Bdf
7401380;Vfa
7401569;Ökn
7401345;Tbo
7400546;Moy
7400388;Gm
7400859;Sth
7400466;Lnå
7401280;Rbk
7602404;No.sms
7400308;Du
7400839;Vr
7400080;Hd
7400324;Gö
7401432;Kjå
7401144;Khe
7446004;Gdv
7400299;Rbh
7400077;Hpbg
7400141;Bml
7400692;Fas
7400001;Cst
7401414;Imr
7401544;Ka
7400365;Rf
7401590;Gas
7400065;Dl
7400632;Hdn
7400002;G
7401330;Säv
7400009;Lp
7400045;Äh
7400277;Ob
7400271;Dre
7401425;Ås
7400939;Dös
7400630;Hlr
7400567;Bjm
7400020;Kac
8010100;De.ber
7400250;Vö
7401385;Vby
7400286;Asb
7400966;Hto
7400151;Ak
7690014;No.sös
7400344;Kisa
7400545;Skn
7400338;Åvg
7401533;Brö
7400105;Åg
7400967;Hvd
7401334;Söla
7400022;Pt
7400262;Arb
7401554;Lkö
7420502;No.lls
7400941;Gnb
7402953;Nvn
7400774;Tåd
7400183;T
7400037;Ånn
7400015;Bx
7400058;Laov
7401437;Sjka
7400312;Tou
7401230;Lis
7400016;Vaa
7401568;Acm
7401424;Lrt
7400736;Må
7400615;Ab
7400396;Igt
7400903;Kbn
7400079;Sög
7401419;Frå
7400776;Tu
7400404;Gal
7400765;Sst
7400712;Ke
7400556;Arnn
7400215;Mu
7436957;Mip
7400034;Fm
7400501;Rts
7400026;St
7400326;Ktm
7400757;Skg
7401054;Fc
7400384;Shr
7400315;Mdn
7401578;Äkb
7400293;Fv
7400258;Mrd
7442615;Skru
7401016;Bth
7401352;Trm
7400539;Tag
7401233;Lve
7400977;Bry
7400044;Hb
7420502;No.lil
7400392;Srv
7400231;Ho
7400715;Mö
