StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;Dist
12255;12255;12256;Kortenslund;59,3467342484;17,9281108196;A1;BUSTERM;7449278;Kortenslund;59,3469632749;17,9278264343;0,0162758747
12257;12257;12258;Attundavägen;59,3504002825;17,9257548728;A1;BUSTERM;7449287;Attundavägen;59,3502160957;17,9254798499;0,0155367492
12259;12076;12260;Bromma kyrka;59,3531219757;17,9229351622;A1;BUSTERM;7449169;Bromma kyrka;59,3527539391;17,923475161;0,0313388925
12262;12261;12262;Vultejusvägen;59,3546048666;17,9139885532;A1;BUSTERM;7449288;Vultejusvägen;59,3546137443;17,9139893131;4,27460670558611E-005
12264;12263;12264;Bällstavägen;59,3571322878;17,909836529;A1;BUSTERM;7449289;Bällstavägen;59,3570486261;17,9100074276;0,0094841116
12266;12182;12266;Bromma sjukhusgrindar;59,360319433;17,905970891;A1;BUSTERM;7449243;Bromma sjukhusgrindar;59,3600810143;17,9062729582;0,0173015026
12267;12267;12268;Sundbyvägen;59,3630030561;17,9038148689;A1;BUSTERM;7470754;Spånga Sundbyvägen;59,3632780137;17,9034626634;0,0202860833
12270;12269;12270;Kopparbacken;59,3655036293;17,9013129929;A1;BUSTERM;7449290;Kopparbacken;59,3654665253;17,9013812785;0,0037723656
12272;12271;12272;Flystaslingan;59,3686131286;17,9005899356;A1;BUSTERM;7449291;Flystaslingan;59,3687024586;17,9006132449;0,0013785643
12274;12273;12274;Skogslöparvägen;59,3703348339;17,9012942648;A1;BUSTERM;7449293;Skogslöparvägen;59,3706764666;17,9012627632;0,0031448158
12275;12275;12276;Spånga Folkets hus;59,3731097788;17,8990373149;A1;BUSTERM;7449300;Spånga Folkets hus;59,3731932412;17,8988667165;0,0094671989
12277;12277;12278;Solhagavägen;59,3759884765;17,8959065659;A1;BUSTERM;7449301;Solhagavägen;59,3759250269;17,8959380641;0,0017811172
12279;12279;12280;Spånga gymnasium;59,3795637632;17,891885387;A1;BUSTERM;7449303;Spånga gymnasium;59,3795084417;17,8919701899;0,0047011921
12281;12281;12282;Urban Hjärnes väg;59,3509020582;17,9197373926;A1;BUSTERM;7449308;Urban Hjärnes väg;59,3503831011;17,9207251727;0,0575866332
12287;12287;12288;Vadmalsvägen;59,3411647384;17,9381522921;A1;BUSTERM;7449345;Vadmalsvägen;59,3409988711;17,9384057825;0,0142748649
12285;12285;12292;Fagerstagatan;59,3885820916;17,8770368982;A1;BUSTERM;7449829;Finspångsgatan;59,3896271594;17,8785091381;0,0941884088
12289;12289;12294;Kälvestavägen;59,3855486563;17,8865326039;A1;BUSTERM;7449395;Kälvestavägen;59,3855202499;17,8866190795;0,0047659188
12295;12252;12295;Domnarvsgatan;59,3920119293;17,8770525053;A1;BUSTERM;7449273;Domnarvsgatan;59,3919297055;17,8771357212;0,0046586781
12298;12298;12298;Godsterminalen;59,3893983892;17,8646059714;A1;BUSTERM;7449831;Godsterminalen;59,3893982966;17,8646061751;0,000011206
12299;12299;12300;Salagatan;59,3847350478;17,8908125856;A1;BUSTERM;7449833;Salagatan;59,3848336309;17,8908188482;0,0004620346
12302;12302;12302;Lunda industri;59,3937807722;17,8764914217;A1;BUSTERM;7449835;Lunda industri;59,3937806796;17,8764916255;1,12081247845851E-005
12303;12303;12304;Fjällnäsgatan;59,3638808765;17,8786799434;A1;BUSTERM;7449865;Fjällnäsgatan;59,3641117855;17,8788349582;0,0091709719
12305;12305;12306;Tornedalsgatan;59,3661629651;17,8836743408;A1;BUSTERM;7449868;Tornedalsgatan;59,3661895042;17,8836937642;0,001076807
12307;12307;12307;Täbylundsvägen;59,3672492475;17,8887544502;A1;BUSTERM;7449869;Täbylundsvägen;59,3672494355;17,8887370792;0,0009554077
12310;12309;12310;Rättar Vigs väg;59,3686430265;17,8897547054;A1;BUSTERM;7449871;Rättar Vigs väg;59,3686420914;17,8898076352;0,0029111529
12312;12311;12312;Järneksvägen;59,3704464245;17,8881587402;A1;BUSTERM;7449873;Järneksvägen;59,3703723225;17,8882951562;0,0075693177
12313;12313;12314;Nälstaplan;59,3725236465;17,8829021063;A1;BUSTERM;7449874;Nälstaplan;59,3725997966;17,8826254571;0,0152858704
