gtfsid,scbid,zip,city
7400001,0180,11164,Stockholm
7400002,1480,41103,Göteborg
7400003,1280,21120,Malmö
7400004,0764,34230,Alvesta
7400005,0380,75321,Uppsala
7400006,1293,28131,Hässleholm
7400007,0581,60222,Norrköping
7400008,1496,54130,Skövde
7400009,0580,58222,Linköping
7400011,1214,26020,Teckomatorp
7400012,1487,46830,Vargön
7400014,1415,44440,Stenungsund
7400015,0560,59013,Boxholm
7400016,1470,53431,Vara
7400017,1080,37023,Hasslö
7400018,1489,44130,Alingsås
7400019,2029,79330,Leksand
7400020,0880,39232,Kalmar
7400021,1315,31495,Kinnared
7400022,1275,28432,Perstorp
7400023,1785,66130,Säffle
7400024,2061,77760,Söderbärke
7400025,2321,83019,Storlien
7400026,2082,78335,Säter
7400027,0191,19540,Märsta
7400028,1286,27142,Ystad
7400029,1273,28070,Lönsboda
7400030,2080,79131,Falun
7400031,0126,14151,Huddinge
7400032,2305,84060,Bräcke
7400033,0862,36194,Eriksmåla
7400034,0682,57178,Forserum
7400035,1495,53272,Axvall
7400036,1499,52040,Floby
7400037,2321,83015,Duved
7400038,1482,44030,Marstrand
7400039,1461,46430,Mellerud
7400040,1466,52430,Herrljunga
7400041,0687,57333,Tranås
7400042,2083,77635,Hedemora
7400043,2283,88130,Sollefteå
7400044,1283,25224,Helsingborg
7400045,0765,34330,Älmhult
7400046,1907,73060,Ramnäs
7400048,1730,67332,Charlottenberg
7400049,0181,15138,Södertälje
7400050,0480,61130,Nyköping
7400051,2062,79290,Sollerön
7400052,0683,33130,Värnamo
7400053,2482,93132,Skellefteå
7400054,1430,45053,Hällevadsholm
7400055,0181,15138,Södertälje
7400056,1486,45297,Strömstad
7400057,1380,30265,Halmstad
7400058,1381,31234,Laholm
7400059,2584,98193,Björkliden
7400060,1499,52133,Falköping
7400061,1278,26936,Båstad
7400062,2061,77734,Smedjebacken
7400063,2321,83015,Duved
7400064,1292,26263,Ängelholm
7400065,1430,45052,Dingle
7400066,1440,44944,Nol
7400067,0486,64792,Mariefred
7400069,1081,37237,Ronneby
7400070,1780,65225,Karlstad
7400071,1447,54874,Gårdsjö
7400072,0381,74537,Enköping
7400073,1082,37439,Karlshamn
7400074,2481,92040,Kristineberg
7400075,1486,45260,Skee
7400076,1492,66230,Åmål
7400077,1861,69431,Hallsberg
7400078,0684,57631,Sävsjö
7400079,1083,29431,Sölvesborg
7400080,1380,30245,Halmstad
7400081,1440,44931,Nödinge
7400082,0883,59331,Västervik
7400083,1470,53496,Håkantorp
7400084,0686,57531,Eksjö
7400085,2482,93232,Skelleftehamn
7400086,0685,57432,Vetlanda
7400087,1430,45531,Munkedal
7400089,0662,33027,Hestra
7400090,0680,55315,Jönköping
7400091,0760,36075,Alstermo
7400092,1384,43930,Onsala
7400093,1885,71131,Lindesberg
7400094,1491,52330,Ulricehamn
7400095,1486,45231,Strömstad
7400096,0862,36130,Emmaboda
7400097,2029,79370,Tällberg
7400098,1485,45930,Ljungskile
7400099,1980,72130,Västerås
7400100,1452,51442,Limmared
7400102,1260,26734,Bjuv
7400103,0780,36044,Ingelstad
7400104,1081,37252,Kallinge
7400105,2260,84133,Ånge
7400106,0761,36052,Kosta
7400107,1444,46730,Grästorp
7400108,0486,64532,Strängnäs
7400109,1490,51333,Fristad
7400110,1383,43241,Varberg
7400111,2084,77551,Krylbo
7400112,0617,33530,Gnosjö
7400113,1489,46630,Sollebrunn
7400114,2584,98107,Abisko
7400115,2321,83013,Åre
7400116,1315,31494,Landeryd
7400117,0760,36073,Lenhovda
7400118,1484,45333,Lysekil
7400119,1485,45150,Uddevalla
7400120,1281,22221,Lund
7400121,1276,26438,Klippan
7400122,0764,34261,Moheda
7400123,2380,83133,Östersund
7400124,0760,36071,Norrhult
7400126,2321,83005,Järpen
7400127,1763,66930,Deje
7400128,2183,82143,Bollnäs
7400129,1862,69332,Degerfors
7400130,2281,85229,Sundsvall
7400131,0780,36040,Rottne
7400132,1402,43331,Partille
7400133,1880,70361,Örebro
7400134,0763,36010,Ryd
7400135,1982,73790,Ångelsberg
7400136,0767,28731,Strömsnäsbruk
7400137,2584,98195,Kiruna
7400138,1264,27434,Skurup
7400140,0682,57131,Nässjö
7400141,1272,29534,Bromölla
7400142,2321,83010,Undersåker
7400143,1490,51370,Borgstena
7400144,2580,97234,Luleå
7400145,0764,34251,Vislanda
7400146,2161,82040,Järvsö
7400147,2309,83044,Nälden
7400148,1494,53140,Lidköping
7400149,0140,15530,Nykvarn
7400150,2582,96161,Boden
7400151,2584,98107,Abisko
7400152,0763,36251,Väckelsång
7400153,2321,83004,Mörsil
7400154,2182,82640,Söderhamn
7400155,1277,26534,Åstorp
7400156,2560,94233,Älvsbyn
7400157,1381,31245,Veinge
7400158,2031,79532,Rättvik
7400159,1490,51532,Viskafors
7400160,2081,78433,Borlänge
7400161,1384,43432,Kungsbacka
7400162,2085,77230,Grängesberg
7400163,2326,84031,Åsarna
7400164,0665,56830,Skillingaryd
7400166,0483,64145,Katrineholm
7400167,1983,73130,Köping
7400169,1291,27232,Simrishamn
7400170,0484,63220,Eskilstuna
7400171,0680,56027,Tenhult
7400172,0583,59135,Motala
7400173,1487,46261,Vänersborg
7400174,2584,98195,Kiruna
7400175,1885,71041,Fellingsbro
7400176,1883,69132,Karlskoga
7400177,1446,54672,Mölltorp
7400178,1496,54170,Skövde
7400179,1293,28831,Vinslöv
7400180,0586,59552,Mjölby
7400181,2460,91131,Vännäs
7400182,1382,31060,Ullared
7400183,1473,54530,Töreboda
7400184,1766,68630,Sunne
7400185,1267,24330,Höör
7400186,1904,73930,Skinnskatteberg
7400187,2184,82443,Hudiksvall
7400188,1383,43278,Tvååker
7400189,0881,38230,Nybro
7400190,2480,90328,Umeå
7400191,1488,46132,Trollhättan
7400192,1881,69235,Kumla
7400194,1860,69530,Laxå
7400195,2181,81133,Sandviken
7400196,1907,73061,Virsbo
7400197,1082,37635,Svängsta
7400198,2161,82732,Ljusdal
7400200,1290,29132,Kristianstad
7400201,0860,57794,Lönneberga
7400202,2029,79341,Insjön
7400203,1441,44830,Floda
7400204,0860,57751,Silverdalen
7400205,1401,43544,Mölnlycke
7400206,1715,66530,Kil
7400207,1401,43063,Hindås
7400208,2584,98194,Riksgränsen
7400209,0860,57084,Mörlunda
7400210,2180,80310,Gävle
7400211,1282,26151,Landskrona
7400212,0662,33021,Reftele
7400213,0882,57235,Oskarshamn
7400214,1981,73338,Sala
7400215,0642,56532,Mullsjö
7400216,1493,54230,Mariestad
7400217,1764,66434,Grums
7400218,2104,81336,Hofors
7400219,2404,92273,Hällnäs
7400220,2282,87230,Kramfors
7400221,1784,67131,Arvika
7400222,1781,68130,Kristinehamn
7400223,1447,54730,Gullspång
7400224,1383,43275,Träslövsläge
7400225,1383,43295,Varberg
7400227,0662,33393,Skeppshult
7400228,2309,83532,Krokom
7400229,2584,98194,Riksgränsen
7400230,1080,37133,Karlskrona
7400231,0643,56634,Habo
7400232,0665,56731,Vaggeryd
7400233,1435,45791,Tanumshede
7400234,1380,31394,Sennan
7400235,0761,36050,Lessebo
7400236,1440,44632,Älvängen
7400237,1980,72233,Västerås
7400238,1401,43065,Rävlanda
7400239,2404,92232,Vindeln
7400240,2584,98134,Kiruna
7400241,1487,46234,Vänersborg
7400242,2262,86132,Timrå
7400243,1443,51733,Bollebygd
7400244,2181,81230,Storvik
7400245,1466,52441,Ljung
7400246,1315,31442,Rydöbruk
7400248,2401,91494,Nyåker
7400249,0481,61330,Oxelösund
7400250,0780,35230,Växjö
7400252,0665,56013,Hok
7400253,2280,87145,Härnösand
7400254,2523,98236,Gällivare
7400255,1380,31042,Haverdal
7400256,1446,54630,Karlsborg
7400257,1382,31134,Falkenberg
7400258,0767,28531,Markaryd
7400260,1285,24130,Eslöv
7400261,1380,31040,Harplinge
7400262,1984,73232,Arboga
7400263,2284,89042,Mellansel
7400265,2523,98206,Nattavaara
7400266,1982,73733,Fagersta
7400267,1380,31041,Gullbrandstorp
7400268,2510,96033,Murjek
7400269,1380,31044,Getinge
7400270,0360,81940,Karlholmsbruk
7400271,1383,43020,Veddige
7400272,1490,51830,Sandared
7400273,2180,81832,Valbo
7400274,1737,68533,Torsby
7400275,2282,87052,Nyland
7400276,0486,64730,Mariefred
7400277,2101,81630,Ockelbo
7400278,2283,88230,Långsele
7400279,1421,47431,Ellös
7400280,1864,71430,Kopparberg
7400282,2482,93055,Jörn
7400283,1438,66830,Ed
7400284,0139,19630,Kungsängen
7400285,1384,43496,Kungsbacka
7400286,1463,51162,Skene
7400287,1780,66057,Väse
7400288,0482,64235,Flen
7400289,0662,33331,Smålandsstenar
7400290,1293,28233,Tyringe
7400291,2085,77131,Ludvika
7400292,1435,45772,Grebbestad
7400293,1885,71830,Frövi
7400294,2417,93061,Bastuträsk
7400295,1273,28341,Osby
7400296,1435,45071,Fjällbacka
7400297,1484,45034,Fiskebäckskil
7400298,1484,45430,Brastad
7400299,1435,45073,Rabbalshede
7400300,1490,50338,Borås
7400301,0360,81538,Tierp
7400302,2062,79232,Mora
7400303,2026,78041,Gagnef
7400306,2422,92070,Sorsele
7400307,1730,67040,Åmotfors
7400308,2321,83015,Duved
7400309,2403,91631,Bjurholm
7400310,2482,93632,Boliden
7400311,0682,57021,Malmbäck
7400312,1315,31441,Torup
7400313,1380,31332,Oskarström
7400314,1463,51161,Skene
7400315,1481,43133,Mölndal
7400316,2425,91704,Borgafjäll
7400317,2482,93015,Bureå
7400318,2482,93731,Burträsk
7400319,2421,92066,Hemavan
7400320,1415,44497,Svenshögen
7400321,1961,73450,Kolbäck
7400322,2026,78041,Gagnef
7400323,1270,27335,Tomelilla
7400324,2305,84050,Gällö
7400325,2260,84010,Ljungaverk
7400326,2523,98299,Gällivare
7400328,0484,64043,Ärla
7400329,2480,91331,Holmsund
7400330,1419,47132,Skärhamn
7400331,2184,82060,Delsbo
7400333,1080,37300,Jämjö
7400334,2034,79430,Orsa
7400335,1481,42832,Kållered
7400337,1256,28931,Knislinge
7400338,0561,59730,Åtvidaberg
7400339,1463,51196,Berghem
7400340,1290,29631,Åhus
7400341,1291,27731,Kivik
7400342,0683,33017,Rydaholm
7400343,1270,27750,Brösarp
7400344,0513,59038,Kisa
7400345,2183,82330,Kilafors
7400346,1290,29731,Degeberga
7400347,1760,68830,Storfors
7400348,0860,57730,Hultsfred
7400349,1415,44465,Jörlanda
7400350,2104,81330,Hofors
7400351,0884,59839,Vimmerby
7400352,0562,61230,Finspång
7400353,1463,51172,Fritsla
7400355,1427,45043,Smögen
7400356,1427,45631,Kungshamn
7400357,1427,45046,Hunnebostrand
7400358,1484,45033,Grundsund
7400359,1784,67160,Arvika
7400360,2481,92133,Lycksele
7400361,1880,70224,Örebro
7400362,0760,36070,Åseda
7400363,1383,43020,Veddige
7400364,1765,67230,Årjäng
7400365,0513,59043,Rimforsa
7400366,1082,37530,Mörrum
7400368,1081,37010,Bräkne-hoby
7400370,1427,45047,Bovallstrand
7400371,2132,82078,Hassela
7400373,1472,54335,Tibro
7400374,2462,91094,Dikanäs
7400375,1763,66730,Forshaga
7400376,1783,68332,Hagfors
7400377,2482,93431,Kåge
7400378,2260,84012,Fränsta
7400379,0604,57833,Aneby
7400380,2281,86013,Stöde
7400381,1762,68430,Munkfors
7400383,0123,17563,Järfälla
7400384,1907,73531,Surahammar
7400385,0763,36230,Tingsryd
7400386,1470,53010,Vedum
7400387,2418,93070,Malå
7400388,0780,36032,Gemla
7400389,2417,93532,Norsjö
7400390,2480,91342,Obbola
7400391,2409,91532,Robertsfors
7400392,0380,74340,Storvreta
7400394,2421,92064,Tärnaby
7400395,2463,91060,Åsele
7400396,0686,57031,Ingatorp
7400397,1263,23331,Svedala
7400398,2021,78051,Dala-Järna
7400399,2281,86531,Alnö
7400400,2284,89331,Bjästa
7400401,2284,89530,Bredbyn
7400402,1463,51931,Horred
7400403,2284,89035,Husum
7400404,0883,59432,Gamleby
7400405,0686,57030,Mariannelund
7400406,2021,78050,Vansbro
7400407,2281,86432,Matfors
7400408,2361,84232,Sveg
7400409,2281,86231,Kvissleby
7400410,1784,67170,Edane
7400411,2283,88040,Ramsele
7400413,2280,87016,Ramvik
7400414,2523,98299,Gällivare
7400415,1264,27460,Rydsgård
7400416,2510,96030,Vuollerim
7400417,2262,86035,Söråker
7400418,1715,66593,Högboda
7400419,1863,71234,Hällefors
7400420,2309,83060,Föllinge
7400421,2313,83335,Strömsund
7400422,2313,83090,Gäddede
7400423,2303,84070,Hammarstrand
7400425,2313,83070,Hammerdal
7400426,1715,66594,Fagerås
7400427,1471,53374,Hällekis
7400428,2421,92331,Storuman
7400429,2321,83001,Hallen
7400431,1880,71941,Garphyttan
7400432,1293,28022,Vittsjö
7400433,1766,68697,Lysvik
7400434,2313,83080,Hoting
7400435,1276,26070,Ljungbyhed
7400436,2462,91298,Klimpfjäll
7400438,0380,74394,Skyttorp
7400439,0683,33012,Forsheda
7400440,1440,44557,Surte
7400441,1060,29331,Olofström
7400442,1494,53175,Järpås
7400445,2321,83005,Järpen
7400446,2021,78054,Äppelbo
7400447,2510,96231,Jokkmokk
7400448,2321,83010,Undersåker
7400449,2326,84035,Ljungdalen
7400450,1290,29010,Tollarp
7400451,2462,91234,Vilhelmina
7400452,2309,83051,Offerdal
7400453,2313,83093,Stora Blåsjön
7400454,2303,83076,Stugun
7400455,2321,83012,Vålådalen
7400456,1482,44260,Kode
7400458,0380,74350,Vattholma
7400460,2161,82041,Färila
7400462,2026,78542,Mockfjärd
7400463,2161,82043,Kårböle
7400464,2518,95731,Övertorneå
7400465,0683,33010,Bredaryd
7400466,1493,54274,Lugnås
7400467,2282,87032,Ullånger
7400468,1493,54873,Lyrestad
7400469,1080,37043,Sturkö
7400470,0382,74242,Öregrund
7400471,2409,91593,Sikeå
7400472,2023,78291,Yttermalung
7400473,2510,98260,Porjus
7400474,1263,23041,Klågerup
7400475,2361,84097,Bruksvallarna
7400476,0360,74842,Örbyhus
7400477,2482,93047,Byske
7400478,1471,53373,Källby
7400479,2505,93331,Arvidsjaur
7400480,1485,45150,Uddevalla
7400481,2361,84098,Tänndalen
7400482,1863,71260,Grythyttan
7400483,2181,81021,Gysinge
7400484,1447,54832,Hova
7400485,2184,82064,Näsviken
7400486,2309,83060,Föllinge
7400487,0860,57082,Målilla
7400488,1060,29373,Jämshög
7400489,2303,84073,Bispgården
7400490,0665,56892,Skillingaryd
7400491,2361,84095,Funäsdalen
7400492,0191,19060,Märsta
7400493,2361,84093,Hede
7400495,2326,84032,Klövsjö
7400496,0561,59797,Falerum
7400497,2361,84085,Lofsdalen
7400498,2482,93010,Lövånger
7400499,1382,31063,Älvsered
7400500,0821,57940,Berga
7400501,1766,68694,Rottneros
7400502,1465,51250,Svenljunga
7400503,2361,84090,Ytterhogdal
7400504,1766,68695,Västra Ämtervik
7400505,1287,23179,Smygehamn
7400506,2361,84097,Bruksvallarna
7400507,1494,53199,Spiken
7400508,1715,66592,Tolita
7400510,0685,57450,Ekenässjön
7400511,0761,36051,Hovmantorp
7400512,1471,53332,Götene
7400513,1441,44343,Gråbo
7400514,2313,88050,Backe
7400515,1421,47334,Henån
7400516,0583,59031,Borensberg
7400517,1380,31038,Simlångsdalen
7400518,0662,33433,Anderstorp
7400519,0781,34014,Lagan
7400520,1283,26033,Påarp
7400521,1080,37030,Rödeby
7400522,0883,59332,Västervik
7400523,1452,51433,Tranemo
7400524,0685,57010,Korsberga
7400525,0885,38075,Byxelkrok
7400526,2380,83433,Brunflo
7400527,2313,88051,Rossön
7400529,2361,84098,Tänndalen
7400530,2361,84094,Tännäs
7400531,1491,52024,Blidsberg
7400532,2361,84092,Vemdalen
7400533,0680,56230,Norrahammar
7400535,2283,88030,Näsåker
7400536,0767,28772,Traryd
7400537,1257,28040,Skånes Fagerhult
7400538,2283,88037,Junsele
7400539,0680,56241,Taberg
7400540,1441,44330,Lerum
7400541,2409,91534,Ånäset
7400542,1766,68695,Västra Ämtervik
7400543,0884,59081,Gullringen
7400545,0586,59634,Skänninge
7400546,1466,52495,Ljung
7400547,0682,57172,Ormaryd
7400548,1060,29060,Kyrkhult
7400549,1257,28637,Örkelljunga
7400550,2425,91731,Dorotea
7400551,0563,61041,Ringarum
7400552,1466,52495,Ljung
7400553,1463,51158,Kinna
7400554,1401,43892,Härryda
7400555,0781,34130,Ljungby
7400556,0191,19060,Märsta
7400557,1481,43740,Lindome
7400558,0885,38731,Borgholm
7400559,0330,74130,Knivsta
7400561,0861,38330,Mönsterås
7400564,1080,37024,Nättraby
7400567,1293,28020,Bjärnum
7400569,1442,44730,Vårgårda
7400570,2523,98299,Gällivare
7400571,2581,94137,Piteå
7400572,0834,38540,Bergkvara
7400573,2023,78067,Sälen
7400574,2039,79091,Idre
7400575,2039,79631,Älvdalen
7400576,0582,61432,Söderköping
7400577,2422,92070,Sorsele
7400578,0680,56025,Bottnaryd
7400579,2523,98299,Gällivare
7400580,1482,44232,Kungälv
7400583,1082,37452,Asarum
7400584,1083,29472,Hällevik
7400585,1482,44250,Ytterby
7400587,0580,59041,Rimforsa
7400588,1083,29471,Mjällby
7400589,2121,82230,Alfta
7400590,2121,82832,Edsbyn
7400591,1266,24235,Hörby
7400592,2132,82070,Bergsjö
7400593,0563,61533,Valdemarsvik
7400594,1445,46530,Nossebro
7400596,2180,81793,Hamrångefjärden
7400597,1080,37045,Fågelmara
7400598,2161,82050,Los
7400599,2132,82075,Harmånger
7400600,1498,52230,Tidaholm
7400601,2184,82532,Iggesund
7400602,2132,82077,Gnarp
7400603,2282,87263,Lunde
7400604,2183,82011,Vallsta
7400605,0488,61071,Vagnhärad
7400606,0509,59931,Ödeshög
7400607,0680,56331,Gränna
7400608,1497,54433,Hjo
7400609,0684,57003,Vrigstad
7400610,1882,69631,Askersund
7400611,1495,53236,Skara
7400612,0319,81470,Älvkarleby
7400613,0319,81430,Skutskär
7400615,2183,82010,Arbrå
7400616,0586,59018,Mantorp
7400619,2480,91020,Hörnefors
7400620,0680,56133,Huskvarna
7400622,0180,11164,Stockholm
7400623,0163,19268,Rotebro
7400624,0662,33230,Gislaved
7400625,1315,31431,Hyltebruk
7400627,0319,81495,Älvkarleby
7400628,0584,59230,Vadstena
7400630,2084,77468,Horndal
7400631,2180,81040,Hedesunda
7400632,2182,82392,Holmsveden
7400633,2181,81171,Järbo
7400635,2101,81692,Lingbo
7400636,2182,82020,Ljusne
7400637,2180,81730,Norrsundet
7400638,1864,71472,Ställdalen
7400639,2182,82022,Sandarne
7400640,2181,81022,Årsunda
7400641,2080,79021,Bjursås
7400642,1440,44640,Skepplanda
7400643,2085,77010,Fredriksberg
7400644,2080,79020,Grycksbo
7400645,2034,79498,Grönklitt Västra
7400646,2023,78067,Sälen
7400647,2039,79091,Idre
7400648,2023,78067,Sälen
7400649,2085,77014,Nyhammar
7400650,2029,79360,Siljansnäs
7400651,0980,62462,Fårösund
7400653,2305,84058,Pilgrimstad
7400654,2080,79015,Sundborn
7400655,2080,79023,Svärdsjö
7400656,2023,78067,Sälen
7400657,2039,79090,Särna
7400658,2023,78067,Sälen
7400659,2083,77670,Vikmanshyttan
7400660,0305,74632,Bålsta
7400661,0382,74744,Gimo
7400662,0188,76334,Hallstavik
7400663,1080,37162,Lyckeby
7400664,0360,81065,Skärplinge
7400665,0188,76131,Norrtälje
7400666,0188,76231,Rimbo
7400667,0191,19330,Sigtuna
7400668,0360,81575,Söderfors
7400669,2380,83631,Lit
7400670,0382,74831,Österbybruk
7400671,0331,74046,Östervåla
7400672,0382,74231,Östhammar
7400673,1961,73430,Hallstahammar
7400674,0331,74431,Heby
7400675,1983,73111,Kolsva
7400676,1960,73632,Kungsör
7400677,0484,64045,Kvicksund
7400678,1962,73831,Norberg
7400679,1981,73373,Ransta
7400680,1980,72630,Skultuna
7400681,1981,73395,Sätra Brunn
7400682,0331,74045,Tärnsjö
7400683,2061,77794,Söderbärke
7400684,1960,73160,Valskog
7400685,1981,73360,Västerfärnebo
7400686,2305,84050,Gällö
7400687,0139,19730,Bro
7400688,2260,84013,Torpshammar
7400689,2523,98299,Gällivare
7400690,0125,17834,Tappström
7400692,0180,12371,Stockholm
7400693,0182,13341,Saltsjöbaden
7400694,0461,64631,Gnesta
7400695,0188,76045,Grisslehamn
7400697,1491,52010,Gällstad
7400698,0120,13431,Gustavsberg
7400699,0136,13640,Handen
7400701,0163,19141,Helenelund
7400702,0126,14161,Sjödalen
7400703,0163,19149,Häggvik
7400704,2084,77497,Fors
7400705,0123,17764,Jakobsberg
7400706,0136,13650,Jordbro
7400707,2182,82023,Bergvik
7400708,0191,19060,Märsta
7400709,0181,15330,Järna
7400710,0123,17671,Kallhäll
7400711,1278,26091,Förslöv
7400712,0180,11341,Stockholm
7400713,0115,18660,Kårsta
7400714,0186,18132,Lidingö
7400715,0181,15021,Mölnbo
7400716,0162,18233,Danderyd
7400717,0182,13154,Nacka
7400718,0163,19270,Norrviken
7400719,0192,14930,Nynäshamn
7400721,0181,15132,Södertälje
7400722,2184,82065,Forsa
7400723,1284,26371,Jonstorp
7400725,1780,66050,Vålberg
7400726,2506,93095,Jäckvik
7400727,0192,14930,Nynäshamn
7400730,0182,13230,Saltsjö Boo
7400732,1291,27660,Skillinge
7400734,0382,74731,Alunda
7400735,0380,74030,Björklinge
7400736,0331,74451,Morgongåva
7400737,0381,74960,Örsundsbro
7400738,0482,64030,Hälleforsnäs
7400739,0191,19571,Rosersberg
7400740,0160,18730,Roslags Näsby
7400742,1291,27261,Gärsnäs
7400744,1292,26083,Vejbystrand
7400745,1284,26043,Arild
7400746,1263,23040,Bara
7400747,1260,26051,Ekeby
7400748,0128,14461,Rönninge
7400749,2518,95793,Pello
7400750,1291,27238,Brantevik
7400751,0182,13335,Saltsjöbaden
7400753,2183,82011,Vallsta
7400755,0840,38065,Degerhamn
7400756,0880,38830,Ljungbyholm
7400757,0126,14230,Skogås
7400758,0163,19147,Tureberg
7400759,0184,17152,Hagalund
7400760,0880,38841,Trekanten
7400761,0192,14870,Sorunda
7400762,0861,38440,Ålem
7400763,1384,43974,Fjärås Station
7400764,0180,16351,Stockholm
7400765,0180,11828,Stockholm
7400767,1383,43263,Väröbacka
7400769,1384,43954,Åsa
7400770,1384,43962,Frillesås
7400771,1080,37034,Holmsjö
7400772,0126,14139,Stuvsta
7400773,0183,17235,Sundbyberg
7400774,0126,14266,Trångsund
7400775,0127,14630,Tullinge
7400776,0127,14730,Tumba
7400777,0136,13756,Tungelsta
7400778,0138,13540,Bollmora
7400779,0160,18349,Täby
7400781,0184,17065,Järva
7400782,0114,19436,Väsby
7400783,0115,18636,Vallentuna
7400784,0187,18531,Vaxholm
7400785,0188,76040,Väddö
7400786,0120,13950,Värmdö
7400787,0136,13738,Västerhaninge
7400788,0117,18450,Åkersberga
7400789,0180,12534,Stockholm
7400790,0192,14830,Ösmo
7400791,0181,15257,Södertälje
7400792,1860,69593,Finnerödja
7400793,1814,71630,Fjugesta
7400794,1860,69560,Hasselfors
7400795,1880,71531,Odensbacken
7400796,1861,69731,Pålsboda
7400798,1880,71932,Vintrosa
7400799,1882,69045,Åsbro
7400800,1781,68071,Björneborg
7400802,1737,68061,Bograngen
7400803,1780,66052,Edsvalla
7400805,1783,68050,Ekshärad
7400806,1766,68698,Gräsmark
7400808,1737,68065,Höljes
7400811,1730,67040,Koppom
7400813,1470,53473,Stora Levene
7400814,1782,68096,Lesjöfors
7400815,1780,66060,Molkom
7400816,1782,68090,Nykroppa
7400818,1785,66195,Värmlands Nysäter
7400819,1495,53292,Axvall
7400820,1761,66330,Skoghall
7400821,1737,68051,Stöllet
7400822,1785,66250,Svanskog
7400828,1737,68060,Sysslebäck
7400829,1496,54931,Tidan
7400830,1785,66193,Värmlandsbro
7400831,1737,68597,Östmark
7400832,1499,52173,Kinnarp
7400833,0482,64032,Malmköping
7400834,1281,22651,Stångby
7400835,1480,42738,Gothenburg
7400836,0480,61055,Stigtomta
7400837,0488,61930,Trosa
7400838,2023,78064,Lima
7400839,0428,64330,Vingåker
7400841,0581,61025,Vikbolandet
7400842,2260,84196,Erikslund
7400843,0563,61042,Gryt
7400844,0563,61040,Gusum
7400845,0513,59042,Horn
7400846,0581,61020,Kimstad
7400847,0581,61892,Kolmården
7400848,0581,61834,Kolmården
7400849,0580,59062,Linghem
7400850,0580,59071,Ljungsbro
7400852,1384,42942,Särö
7400853,0581,61021,Norsholm
7400855,0562,61014,Rejmyre
7400856,0581,61730,Skärblacka
7400857,1421,47470,Mollösund
7400858,1421,47495,Hälleviksstrand
7400859,1415,44460,Stora Höga
7400860,1407,47540,Hönö
7400861,1407,47531,Öckerö
7400862,0687,57361,Sommen
7400863,2039,79091,Idre
7400865,1401,43832,Landvetter
7400866,0581,60580,Svärtinge
7400868,0580,59049,Vikingstad
7400869,0580,59077,Vreta Kloster
7400870,0581,61630,Åby
7400871,0512,57060,Österbymo
7400872,0581,61024,Vikbolandet
7400873,2506,93090,Arjeplog
7400874,2031,79596,Boda Kyrkby
7400875,2523,98041,Hakkas
7400876,2584,98191,Jukkasjärvi
7400877,2514,95233,Kalix
7400878,2584,98016,Karesuando
7400879,1419,47141,Rönnäng
7400880,2521,98060,Korpilombolo
7400881,2510,96202,Kvikkjokk
7400882,2031,79070,Furudal
7400883,2523,98332,Malmberget
7400884,2523,98129,Kiruna
7400885,2521,98431,Pajala
7400886,2523,98299,Gällivare
7400887,2580,95531,Råneå
7400888,2518,95794,Svanstein
7400892,2521,98061,Tärendö
7400893,0980,62335,Burgsvik
7400895,2514,95040,Töre
7400901,0980,62365,Ljugarn
7400903,1962,73892,Norberg
7400904,2584,98010,Vittangi
7400906,2513,95631,Överkalix
7400907,0883,59090,Ankarsrum
7400909,0885,38074,Löttorp
7400910,0980,62266,Gotlands Tofta
7400911,0840,38631,Färjestaden
7400913,0980,62145,Visby
7400915,0885,38075,Byxelkrok
7400917,0980,62377,Klintehamn
7400918,0980,62254,Romakloster
7400919,0980,62466,Fårö
7400921,0883,59093,Gunnebo
7400922,0980,62452,Lärbro
7400923,0821,57930,Högsby
7400924,1499,52050,Stenstorp
7400926,0883,59095,Loftahammar
7400927,0885,38074,Löttorp
7400928,0840,38062,Mörbylånga
7400929,0881,38040,Orrefors
7400930,0882,57090,Påskallavik
7400932,0834,38531,Torsås
7400933,0860,57080,Virserum
7400934,1214,26021,Billeberga
7400935,1260,26773,Billesholm
7400936,1262,23737,Bjärred
7400937,1231,23237,Arlöv
7400938,1281,24010,Dalby
7400939,1261,24471,Dösjebro
7400940,1233,23942,Falsterbo
7400941,1281,22654,Lund
7400942,1230,24565,Hjärup
7400943,1284,26338,Höganäs
7400944,1233,23651,Höllviken
7400945,1261,24432,Kävlinge
7400946,1286,27172,Köpingebro
7400947,1262,23431,Lomma
7400948,1284,26042,Mölle
7400949,1265,27530,Sjöbo
7400950,1233,23933,Skanör
7400951,1230,24531,Staffanstorp
7400952,1285,24036,Stehag
7400953,1263,23391,Svedala
7400954,2409,91598,Bygdeå
7400955,1214,26833,Svalöv
7400956,1281,24731,Södra Sandby
7400957,1281,24761,Veberöd
7400958,1233,23531,Vellinge
7400959,1284,26040,Viken
7400960,1231,23253,Åkarp
7400961,1285,24193,Örtofta
7400962,0685,57495,Björköby
7400963,0682,57161,Bodafors
7400964,0686,57034,Bruzaholm
7400965,1315,31496,Torup
7400966,0617,33033,Hillerstorp
7400967,0686,57032,Hjältevad
7400968,0686,57592,Hult
7400969,2421,92051,Gunnarn
7400973,0980,62449,Slite
7400974,0682,57173,Stensjön
7400976,1380,31350,Åled
7400977,0680,56431,Bankeryd
7400978,1460,66631,Bengtsfors
7400980,1460,66011,Billingsfors
7400981,1463,51994,Björketorp
7400982,1487,46065,Brålanda
