gtfsid,id,type,Name
7471688,410,0,Varberg Norra Statoil E6
7449131,412,0,Grums Nyängen Rasta
7400367,413,0,Malung jvgstn
7434533,423,0,Tännäs Hpl Riksväg 84
7401586,424,0,Funäsdalen by Busstn
7471640,425,0,Bruksvallarna Stig Myhrs
7401179,426,0,Ramundberget Hotellet
7450840,433,0,Kungsberget Centrumhuset
7420496,434,0,Kungsberget inkl. en dags liftkort
7452904,441,0,Ödeshög Rasta
7452904,441,0,Ödeshög Rasta
7453530,442,0,Vansbrosimningen Lokstallet
7425606,443,0,Göteborg Angered centrum hpl H
7415575,444,0,Göteborg Klareberg Kärra hpl C
7459149,445,0,Göteborg Brunnsbotorget hpl D
7459354,446,0,Göteborg Klippan Karl Johansg.
7415565,447,0,Göteborg Frölunda torg hpl K
7400315,448,0,Mölndals bro hpl F
7417388,449,0,Landskrona Malmöv McDonalds
7451702,454,0,Böda sand
7459033,455,0,Ängelholm E6 Shell/McDonalds
7459441,459,0,Iggesund hpl Nya E4
7400217,477,0,Grums jvstn
7400128,481,0,Bollnäs Busstn
7438855,486,0,Ankarsrum Hpl V40
7420990,489,0,Huskvarna Esplanaden
7425508,490,0,Jönköping Ekhagen Centrun
7464398,491,0,Jönköping Råslätt
7439860,492,0,Jönköping Torsvik hpl A
7464399,493,0,Skillingaryd Götaström
7400067,494,0,Läggesta jvstn
7400660,495,0,Bålsta busstn
7401265,496,0,Stockholm Stadsgården Viking Line
7410300,498,0,Eskilstuna Busstn hpl A
7410279,504,0,Getaway Gävle Gasklockorna
7400060,512,0,Falköping Centralstation
7414150,527,0,Mönsterås Norra E22
7400129,529,0,Degerfors station
7400194,530,0,Laxå station
7400183,531,0,Töreboda station
7400040,532,0,Herrljunga station
7400569,533,0,Vårgårda station
7400018,534,0,Alingsås station
7400070,535,0,Karlstad station
7400540,536,0,Lerum station
7400030,537,0,Falun Centralstation
7400291,538,0,Ludvika station
7400638,539,0,Ställdalen station
7401533,540,0,Bredsjö station
7400482,541,0,Grythyttan station
7400816,542,0,Nykroppa station
7400347,543,0,Storfors station
7400347,543,0,Storfors station
7400206,544,0,Kil station
7400039,545,0,Mellerud station
7400173,546,0,Öxnered
7400580,549,0,Kungälv busstn hpl J
7415561,550,0,Kungälv Eriksdal
7415177,565,0,Hörnefors  Statoil E4
7415169,566,0,Husum hpl E4
7415120,567,0,Bjästa södra utfart E4
7415125,568,0,Docksta Marina E4
7400467,569,0,Ullånger baksidan OKQ8
7408781,570,0,Hornöberget E4
7415112,571,0,Bollstabruk busstn
7450747,572,0,Lunde
7415174,573,0,Hälledal  kiosken
7425851,574,0,Timrå centrum
7435516,575,0,Birsta E4
7400130,576,0,Sundsvall centralstn
7411938,577,0,Kvissleby
7423133,578,0,Jättendal hpl Dvästa (OK)E4
7423135,579,0,Harmånger hpl Nordanå E4
