name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Aneby gård;57.829855764117;14.817525812092;12034;7440929;Aneby gård;57.829855824293;14.817526173728
Aneby Hullarydsvägen;57.839417118556;14.804737323658;12004;7440907;Aneby Hullarydsvägen;57.839417178347;14.804737686835
Aneby Konserthuset;57.835115995912;14.816169628435;12081;7425593;Aneby Konserthuset;57.835126083673;14.816304393603
Aneby Resecentrum;57.837229455952;14.812003732258;12001;7400379;Aneby station;57.836232512026;14.810819417542
Aneby Rydholmsvägen;57.846931754393;14.796681155796;12055;7440944;Aneby Rydholmsvägen;57.846931813826;14.796681520082
Aneby Röttlegatan;57.843065515003;14.818847738055;12040;7440931;Aneby Röttlegatan;57.843065574192;14.818848100726
Aneby Stalpet;57.847998629935;14.822771351682;12041;7440932;Stalpet;57.84799868867;14.822771714536
Aneby Storgatan;57.838237626822;14.818070668748;12082;7440952;Aneby Storgatan;57.83823768638;14.81807103106
Aneby Tolarp;57.829426731135;14.766115324184;12006;7440909;Tolarp;57.82942679261;14.766115688717
Aneby Torget;57.838809945463;14.817768778467;12002;7425592;Aneby torget;57.838855153761;14.817801577269
Aneby Torstorp;57.836077647673;14.782338086457;12005;7440908;Torstorp;57.836077708255;14.782338450641
Aneby Vittaryd;57.855063192191;14.789463252816;12056;7440945;Vittaryd;57.855063251195;14.789463618221
Angerdshestravägen;57.75351442879;13.987608779882;1207;7439567;Angerdshestravägen;57.753514525167;13.987609184613
Anneberg Elmeshult;57.712720303877;14.860988051515;2111;7440025;Elmeshult;57.71272037068;14.860988400754
Anneberg Flexator;57.726361952575;14.794989380287;2167;7425532;Anneberg Flexator;57.726362020281;14.794989733791
Anneberg Hagalundsgatan;57.725371421343;14.799145827404;2168;7440065;Anneberg Hagalundsgatan;57.725371488998;14.79914618062
Anneberg Johannesbergsvägen;57.724248754558;14.811613411681;2171;7440067;Anneberg Johannesbergsvä;57.724248821949;14.81161376421
Anneberg kiosken;57.723038210724;14.80612511864;2170;7410026;Anneberg kiosken;57.723038278337;14.80612547131
Anneberg Tullen västra;57.705826553909;14.866132968543;2112;7440026;Tullen västra;57.705826620988;14.866133316938
Anneberg Tullen östra;57.703054243558;14.872511572183;2113;7440027;Tullen östra;57.703054310638;14.872511920056
Annebergs skola;57.72300122446;14.802584992628;2169;7440066;Annebergs skola;57.72300129217;14.802585345459
Arnåsholm;57.260409994045;13.345645390872;4099;7425556;Arnåsholm;57.260405630942;13.345413942101
Asby Norrgård;57.906860984866;15.204858167376;75059;7455732;Asby norrgård;57.906861032645;15.204858512255
Askerydsvägen;57.738718527677;15.062087878819;5126;7410870;Kålshester;57.734646243469;15.055188213425
Backen;58.127240518898;14.219177529151;23501;7441030;Backen;58.127240568118;14.219177966672
Baggebolet;58.116213219349;14.2112512549;23502;7441031;Baggebolet;58.116213270069;14.211251691965
Bankeryd Aspåsen;57.853805570053;14.128050966277;1511;7439811;Bankeryd Aspåsen;57.853805650951;14.128051376507
Bankeryd Attarpsvägen;57.859682368143;14.123582218983;1504;7424007;Bankeryd Attarpsvägen;57.859779831257;14.123476995712
Bankeryd Backamo;57.86599185275;14.116547201128;1501;7423522;Bankeryd Backamo;57.865991932982;14.116547614052
Bankeryd Bankgatan;57.860226879344;14.124011717172;1629;7445044;Bankeryd Bankgatan;57.860226959809;14.124012128661
Bankeryd Berghagsgatan;57.864055414741;14.139891393795;1517;7439817;Bankeryd Berghagsgatan;57.864055494189;14.139891804608
