gtfsid,rt90-x,rt90-y
7400211,6197230.025,1313819.984
7400212,6341070.017,1366216.018
7400213,6348787.008,1539360.02
7400214,6645379.979,1544824.004
7400215,6422830.009,1385967.026
7400216,6511556.997,1385258.031
7400217,6584456.983,1346924.04
7400218,6716990.966,1525294.002
7400219,7138851.947,1684837.983
7400220,6981389.941,1600216.976
7400221,6619238.975,1318833.046
7400222,6578530.984,1403406.029
7400223,6541731.991,1401897.029
7400224,6330786.033,1286074.02
7400225,6344055.032,1288050.023
7400227,6336026.02,1351935.018
7400228,7024812.92,1432028.972
7400229,7594537.209,1595332.962
7400230,6226470.998,1486347.015
7400231,6421526.008,1397532.025
7400232,6375405.012,1399802.021
7400233,6518945.005,1238766.062
7400234,6297438.026,1327284.011
7400235,6291524.006,1466584.016
7400236,6431972.02,1282085.041
7400237,6618890.984,1546084.005
7400238,6396992.022,1302746.032
7400239,7127667.945,1689733.983
7400240,7535641.139,1685472.046
7400241,6478005.009,1296013.045
7400242,6931437.943,1578651.98
7400243,6398202.021,1306891.032
7400244,6718519.967,1540007
7400245,6432478.012,1337231.033
7400246,6317942.023,1337655.015
7400248,7077992.942,1672842.978
7400249,6505916.001,1575353.009
7400250,6306005.009,1439110.015
7400252,6377578.011,1408299.021
7400253,6948884.943,1608935.977
7400254,7456802.069,1710042.047
7400255,6293265.03,1307863.01
7400256,6490490.999,1424530.025
7400257,6313290.032,1297930.016
7400258,6261222.018,1363647.005
7400260,6192691.016,1343396.986
7400261,6295059.029,1311548.011
7400262,6586275.986,1502040.013
7400263,7037948.942,1624934.975
7400265,7415632.037,1726527.047
7400266,6652412.975,1500591.01
7400267,6290570.03,1311823.01
7400268,7385377.02,1725891.038
7400269,6303283.029,1312279.013
7400270,6712789.972,1600165.991
7400271,6350300.031,1289560.025
7400272,6402304.019,1320444.031
7400273,6724589.968,1564759.995
7400274,6671963.963,1344289.038
7400275,6989927.941,1599119.976
7400276,6572299.993,1581284.004
7400277,6753098.962,1549726.996
7400278,7008051.939,1563569.975
7400279,6459247.02,1244835.053
7400280,6639544.975,1454165.018
7400282,7223426.962,1698817.995
7400283,6538851.996,1276962.054
7400284,6596887.992,1610359.998
7400285,6385392.029,1278194.033
7400286,6378731.023,1312023.028
7400287,6586176.983,1389081.031
7400288,6548683.994,1544971.01
7400289,6339793.019,1355366.019
7400290,6227918.015,1362876.997
7400291,6670308.97,1465421.015
7400292,6516705.006,1236206.063
7400293,6594216.984,1474977.017
7400294,7194031.955,1701298.992
7400295,6251710.012,1388125.005
7400296,6506308.009,1237331.061
7400297,6466003.018,1244826.054
7400298,6481328.014,1247358.056
7400299,6506740.007,1248166.059
7400300,6403192.017,1328809.03
7400301,6693138.975,1594373.993
7400302,6766486.95,1432584.012
7400303,6716041.962,1463439.012
7400306,7317548.994,1518320.93
7400307,6632714.971,1306834.048
7400308,7034455.9,1355680.971
7400309,7096101.944,1667287.978
7400310,7203747.954,1716942.997
7400311,6384436.009,1419549.021
7400312,6317893.024,1334167.015
7400313,6301317.026,1326950.012
7400314,6378050.023,1310725.028
7400315,6398649.027,1274020.037
7400316,7192582.943,1465736.938
7400317,7179069.942,1757926
7400318,7166243.945,1732969.994
7400319,7301870.976,1467171.911
7400320,6453328.017,1272187.046
7400321,6604926.985,1524158.009
7400322,6720377.961,1460348.012
7400323,6159011,1382832.985
7400324,6977980.929,1470745.98
7400325,6931609.937,1513087.984
7400326,7500740.109,1683385.037
7400328,6573880.991,1549673.008
7400329,7074685.938,1725252.98
7400330,6437618.024,1248202.049
7400331,6854189.947,1539499.989
7400333,6229309.998,1501850.017
7400334,6778694.948,1436183.01
7400335,6393428.028,1275519.035
7400336,6237660.01,1392800.003
7400337,6230750.01,1393360.002
7400338,6453355.003,1511591.017
7400339,6375831.024,1307602.028
7400340,6200830.003,1406079.998
7400341,6174000,1400639.992
7400342,6318745.012,1409190.015
7400343,6178950.002,1392659.991
7400344,6429036.004,1489861.019
7400345,6790840.956,1541109.994
7400346,6191170.004,1392549.994
7400347,6602435.98,1413219.027
7400348,6373490.007,1502491.019
7400349,6436141.022,1264947.045
7400350,6714259.967,1526420.002
7400351,6393136.006,1503167.019
7400352,6509357.997,1498356.017
7400353,6385418.021,1319539.028
7400355,6479548.017,1232309.059
7400356,6479942.016,1233448.059
7400357,6488662.013,1237221.059
7400358,6462777.019,1242458.054
7400359,6624308.973,1312233.047
7400360,7168689.955,1637069.977
7400361,6572269.987,1465624.019
7400362,6338065.008,1472284.018
7400363,6354339.03,1290828.025
7400364,6591758.982,1291328.053
7400365,6445755.003,1492725.019
7400366,6229229.003,1434148.007
7400367,6731448.952,1385523.024
7400368,6233852.001,1457234.011
7400370,6492327.012,1238566.059
7400371,6888909.944,1547069.985
7400373,6479197.001,1403925.028
7400374,7238681.959,1485767.933
7400375,6603687.979,1368468.035
7400376,6659273.967,1382320.03
7400377,7202063.949,1745926.002
7400378,6931648.938,1518682.983
7400379,6412846.006,1440932.022
7400380,6923329.941,1541007.983
7400381,6637148.972,1373317.033
7400383,6588809.993,1617211.998
7400384,6620829.982,1523336.009
7400385,6266590.006,1448950.012
7400386,6452950.009,1334847.035
