gtfsid,btid
7400005,Uppsala C
7400001,Stockholm C
7400002,Göteborg C
7400008,Skövde C
7400077,Hallsberg
7400018,Alingsås
7400166,Katrineholm C
7400014,Stenungsund
7400040,Herrljunga
7400119,Uddevalla C
