gtfsid
7470250
7469818
7400893
7471001
7471002
7471003
7471004
7471005
7471006
7410474
7420019
7420015
7420014
7420017
7420016
7411264
7400998
7470846
7470845
7470844
7470843
7470842
7470841
7470840
7470849
7470848
7410944
7404019
7404014
7411487
7410358
7458980
7458981
7410535
7410539
7404017
7470709
7421605
7421604
7421602
7401342
7401107
7410825
7410015
7410019
7411838
7400922
7471071
7471070
7471076
7474001
7411351
7410400
7470638
7425004
7410720
7470400
7410290
7470303
7411775
7470486
7470819
7470811
7470812
7470814
7470817
7404004
7404005
7401138
7401135
7401131
7411861
7400973
7470890
7470891
7470892
7470893
7470894
7470895
7470896
7470898
7470899
7470232
7470915
7470914
7470917
7470916
7470911
7470910
7470913
7470912
7470919
7470918
7470158
7470641
7470640
7425869
7410272
7471022
7471023
7471020
7471021
7471026
7471024
7471025
7471028
7471029
7404016
7404015
7470861
7470860
7470863
7470862
7470864
7470867
7470866
7470869
7470868
7469887
7400651
7401365
7470948
7470949
7470946
7470947
7470944
7470945
7470942
7470943
7470940
7470941
7400901
7470240
7469809
7401091
7471019
7471018
7471017
7471016
7471015
7471014
7420025
7420021
7420022
7470797
7470799
7470798
7421599
7470832
7470833
7470831
7470836
7470837
7470834
7470835
7470838
7470839
7470976
7470979
7410007
7471045
7471046
7471047
7471042
7471043
7471048
7471049
7411659
7410299
7411440
7410318
7470152
7470154
7470157
7410570
7469315
7469317
7469318
7470809
7470808
7470803
7470807
7470806
7470805
7470804
7401065
7401064
7468763
7470883
7470882
7470881
7470880
7470887
7470886
7470884
7470889
7470929
7470920
7470921
7470922
7470923
7470924
7470925
7470926
7470927
7401143
7421601
7410710
7471034
7471031
7471030
7471033
7471032
7471039
7470855
7470856
7470857
7470851
7470852
7470853
7470858
7470859
7410978
7401037
7404008
7404009
7411734
7470951
7470950
7470953
7470952
7470954
7401080
7471069
7471066
7471064
7471062
7471063
7471061
7469419
7470412
7470413
7411357
7410109
7410926
7470499
7470824
7470827
7470826
7470821
7470820
7470823
7470829
7401324
7401128
7410598
7470768
7470767
7470765
7411850
7411853
7470203
7470202
7470204
7404386
7410203
7471055
7471054
7471053
7471052
7471050
7471059
7471058
7470902
7470903
7470901
7470906
7470907
7470904
7470905
7470908
7470909
7425876
7425877
7425872
7464312
7411627
7470988
7470983
7410324
7470164
7470165
7470464
7470463
7470468
7470877
7470874
7470875
7470872
7470873
7470870
7470871
7410170
7404023
7404021
7401058
7401316
7401311
7410049
7470939
7470938
7470933
7470932
7470931
7470930
7470937
7470936
7470935
7470934
7401155
7411802
7400913
7400910
7400917
7400918
